Device Name,Device Type,Energy Consumption (kWh),Date Range,Country,User Demographics: Age,User Demographics: Gender,Usage Frequency (per week/month),Device Brand,Average Duration of Use (Hours),Cost Savings (in $),Power Source,Internet Connectivity Status
Smart Light Bulb,Health Monitoring,2.80,31-07-2021,Japan,34,Woman,7 per week,SunTrack,15.80,$41.32 ,Battery,Intermittent
Smart Plug,Water Conservation,9.00,26-02-2023,Canada,21,Prefer not to say,5 per week,SunTrack,10.60,$41.92 ,Grid,Disconnected
Security Camera,Security,19.70,14-09-2020,Germany,50,Man,7 per week,EcoHome,4.90,$17.67 ,Grid,Intermittent
Smart Light Bulb,Water Conservation,18.60,28-10-2023,Japan,33,Man,3 per week,EcoHome,9.20,$25.77 ,Solar,Offline Mode
Smart Light Bulb,Water Conservation,1.90,13-02-2020,Australia,48,Prefer not to say,10 per month,CoolTech,9.10,$18.23 ,Solar,Disconnected
Smart Refrigerator,Entertainment,4.30,24-04-2022,Japan,28,Non-binary,5 per week,SoundWave,17.70,$2.21 ,Battery,Offline Mode
Smart Speaker,Smart Appliances,10.90,27-11-2023,South Africa,39,Man,10 per month,RingSecure,7.20,$7.26 ,Battery,Offline Mode
Video Doorbell,Entertainment,4.20,07-10-2022,Canada,55,Man,7 per week,CoolTech,6.40,$23.96 ,Battery,Low Bandwidth
Video Doorbell,Smart Appliances,1.40,14-11-2023,Mexico,45,Prefer not to say,15 per month,RingSecure,12.80,$41.22 ,Battery,Connected
Solar Panel Monitor,Smart Appliances,1.90,07-11-2024,Canada,23,Prefer not to say,7 per week,SoundWave,9.30,$25.20 ,Solar,Connected
Solar Panel Monitor,Entertainment,20.90,16-10-2022,Canada,22,Prefer not to say,15 per month,SafeGuard,15.20,$34.80 ,Grid,Disconnected
Smart Refrigerator,Climate Control,18.30,07-06-2023,France,41,Prefer not to say,10 per month,SunTrack,22.40,$35.34 ,Battery,Offline Mode
Home Assistant Hub,Fitness Monitoring,14.10,23-02-2023,Australia,45,Non-binary,3 per week,CoolTech,8.40,$38.11 ,Solar,Offline Mode
Smart Speaker,Fitness Monitoring,8.40,01-07-2021,India,34,Man,7 per week,SoundWave,14.00,$48.71 ,Grid,Disconnected
Smart Refrigerator,Energy-saving,2.50,13-10-2024,South Africa,31,Man,7 per week,SafeGuard,2.40,$5.46 ,Battery,Disconnected
Video Doorbell,Smart Appliances,18.70,14-04-2023,Australia,21,Prefer not to say,3 per week,RingSecure,23.10,$40.18 ,Grid,Offline Mode
Smart Refrigerator,Entertainment,8.00,15-04-2021,USA,29,Woman,10 per month,SmartLiving,21.20,$37.76 ,Battery,Connected
Smart Light Bulb,Water Conservation,2.20,24-06-2022,France,31,Non-binary,10 per month,RingSecure,17.10,$30.25 ,Solar,Intermittent
Smart Refrigerator,Entertainment,22.20,11-01-2024,Mexico,60,Woman,3 per week,SunTrack,3.50,$24.49 ,Grid,Low Bandwidth
Smart TV,Water Conservation,15.10,14-02-2024,Canada,18,Woman,5 per week,CoolTech,19.40,$44.00 ,Grid,Intermittent
Smart Thermostat,Health Monitoring,1.30,15-12-2022,USA,21,Man,7 per week,ViewMax,11.70,$30.30 ,Battery,Low Bandwidth
Smart TV,Climate Control,10.80,24-03-2023,Mexico,25,Non-binary,10 per month,SafeGuard,19.60,$49.97 ,Grid,Connected
Smart Refrigerator,Smart Appliances,20.30,18-07-2020,Brazil,42,Prefer not to say,7 per week,ViewMax,1.60,$43.66 ,Solar,Connected
Security Camera,Health Monitoring,1.60,09-08-2023,Mexico,21,Man,3 per week,SoundWave,13.20,$35.90 ,Grid,Disconnected
Video Doorbell,Water Conservation,15.40,18-06-2023,Brazil,31,Non-binary,10 per month,BrightLife,18.40,$39.38 ,Grid,Intermittent
Smart TV,Fitness Monitoring,8.80,27-05-2021,India,57,Prefer not to say,3 per week,ViewMax,4.60,$38.67 ,Solar,Intermittent
Smart Plug,Energy-saving,1.30,20-01-2023,Germany,44,Man,7 per week,ViewMax,5.90,$30.01 ,Battery,Offline Mode
Smart Light Bulb,Water Conservation,10.40,25-01-2020,Australia,48,Woman,10 per month,RingSecure,1.90,$8.64 ,Battery,Offline Mode
Smart Plug,Water Conservation,18.60,16-06-2022,Japan,60,Man,15 per month,EcoHome,4.30,$36.83 ,Solar,Low Bandwidth
Smart Thermostat,Water Conservation,4.10,07-11-2024,Brazil,53,Woman,7 per week,EcoHome,2.40,$12.76 ,Solar,Offline Mode
Security Camera,Climate Control,3.50,24-03-2023,Japan,59,Woman,15 per month,SoundWave,18.90,$8.84 ,Solar,Offline Mode
Smart TV,Smart Appliances,7.30,08-11-2022,France,28,Man,10 per month,SafeGuard,3.70,$42.78 ,Solar,Offline Mode
Smart Speaker,Energy-saving,5.30,07-06-2024,South Africa,45,Non-binary,7 per week,ViewMax,14.00,$4.16 ,Grid,Disconnected
Smart Light Bulb,Climate Control,20.40,18-02-2024,France,62,Prefer not to say,15 per month,SunTrack,20.60,$30.91 ,Grid,Connected
Smart Speaker,Entertainment,15.40,04-04-2020,Brazil,42,Man,10 per month,CoolTech,7.40,$35.51 ,Grid,Low Bandwidth
Smart Light Bulb,Smart Appliances,10.90,25-07-2020,USA,63,Woman,7 per week,BrightLife,2.20,$11.19 ,Grid,Disconnected
Home Assistant Hub,Water Conservation,4.50,04-12-2023,Germany,58,Prefer not to say,7 per week,SmartLiving,16.90,$44.07 ,Solar,Intermittent
Smart Speaker,Health Monitoring,18.40,13-12-2021,Japan,32,Woman,10 per month,CoolTech,23.80,$6.05 ,Battery,Low Bandwidth
Home Assistant Hub,Smart Appliances,7.60,25-10-2021,Australia,30,Prefer not to say,3 per week,SoundWave,12.40,$10.02 ,Grid,Offline Mode
Video Doorbell,Health Monitoring,16.90,18-08-2022,India,28,Non-binary,15 per month,SunTrack,17.70,$34.67 ,Solar,Offline Mode
Smart TV,Entertainment,6.70,12-07-2024,Germany,25,Non-binary,5 per week,BrightLife,10.60,$47.69 ,Solar,Intermittent
Smart Speaker,Health Monitoring,19.80,13-04-2024,France,55,Woman,5 per week,CoolTech,20.50,$9.01 ,Solar,Offline Mode
Smart TV,Fitness Monitoring,8.90,20-10-2021,France,41,Woman,3 per week,RingSecure,5.20,$26.64 ,Solar,Low Bandwidth
Smart Refrigerator,Entertainment,19.70,09-03-2021,USA,59,Non-binary,7 per week,SmartLiving,1.60,$4.93 ,Solar,Disconnected
Smart Light Bulb,Security,11.80,26-01-2023,Canada,38,Non-binary,3 per week,SafeGuard,11.40,$18.52 ,Solar,Connected
Video Doorbell,Climate Control,22.90,20-10-2021,Germany,32,Man,7 per week,SmartLiving,23.70,$8.77 ,Grid,Connected
Security Camera,Health Monitoring,16.30,26-06-2022,Brazil,35,Woman,15 per month,EcoHome,22.30,$37.69 ,Solar,Low Bandwidth
Security Camera,Energy-saving,24.10,09-07-2022,India,49,Woman,5 per week,RingSecure,6.50,$18.22 ,Solar,Connected
Security Camera,Climate Control,10.40,21-01-2022,Canada,59,Non-binary,5 per week,PlugWise,21.80,$34.56 ,Battery,Intermittent
Smart TV,Climate Control,2.40,10-11-2020,South Africa,52,Man,3 per week,SoundWave,18.70,$9.01 ,Battery,Offline Mode
Security Camera,Energy-saving,3.40,03-05-2022,Brazil,45,Man,3 per week,SoundWave,9.10,$48.14 ,Grid,Intermittent
Smart Speaker,Climate Control,18.80,18-06-2020,Japan,28,Prefer not to say,10 per month,RingSecure,15.60,$27.44 ,Battery,Intermittent
Smart Refrigerator,Health Monitoring,11.00,10-06-2024,Canada,39,Woman,15 per month,CoolTech,18.90,$19.34 ,Solar,Disconnected
Smart Plug,Energy-saving,1.20,07-01-2024,Germany,20,Prefer not to say,3 per week,SafeGuard,7.80,$34.92 ,Solar,Disconnected
Video Doorbell,Smart Appliances,21.40,21-10-2020,USA,31,Prefer not to say,5 per week,SunTrack,8.80,$46.11 ,Grid,Disconnected
Smart Refrigerator,Entertainment,19.30,15-06-2022,Brazil,45,Non-binary,10 per month,SmartLiving,13.40,$16.17 ,Grid,Low Bandwidth
Smart Speaker,Smart Appliances,16.20,16-07-2022,USA,49,Non-binary,5 per week,PlugWise,14.40,$28.71 ,Battery,Offline Mode
Smart TV,Water Conservation,16.90,29-09-2023,Canada,27,Prefer not to say,5 per week,SmartLiving,23.30,$45.54 ,Grid,Intermittent
Smart Speaker,Energy-saving,14.00,17-12-2023,Mexico,29,Prefer not to say,15 per month,BrightLife,17.70,$31.94 ,Battery,Connected
Smart Speaker,Smart Appliances,6.20,29-07-2020,Brazil,46,Woman,7 per week,SmartLiving,4.50,$38.21 ,Solar,Low Bandwidth
Smart Refrigerator,Fitness Monitoring,21.50,16-01-2021,France,48,Man,15 per month,ViewMax,16.00,$8.34 ,Solar,Connected
Solar Panel Monitor,Energy-saving,16.60,05-01-2021,India,54,Man,7 per week,BrightLife,16.60,$5.41 ,Solar,Low Bandwidth
Smart Plug,Smart Appliances,21.60,03-12-2021,South Africa,53,Man,5 per week,RingSecure,1.40,$24.26 ,Grid,Low Bandwidth
Smart Speaker,Entertainment,19.60,19-09-2021,Brazil,33,Woman,3 per week,EcoHome,8.60,$43.34 ,Battery,Intermittent
Smart Speaker,Climate Control,9.30,06-09-2020,Australia,61,Prefer not to say,15 per month,CoolTech,6.30,$24.85 ,Battery,Intermittent
Smart Speaker,Energy-saving,24.00,04-10-2020,Germany,34,Man,10 per month,ViewMax,9.50,$33.37 ,Grid,Connected
Smart Plug,Energy-saving,18.10,02-11-2021,Mexico,58,Non-binary,5 per week,CoolTech,23.90,$28.99 ,Grid,Offline Mode
